0,1,2,3,4,5,6,7,8,9
22.01,2404.0,24.75,0.25,108236.0,1373.08,1907.9,66.42,51464.0,43953.0
21.41,1567.0,30.5,0.15,112044.0,1459.45,1856.24,56.94,51464.0,45301.0
20.31,1264.0,36.77,0.15,135143.0,1655.55,1978.89,55.18,40071.0,46394.0
22.23,1683.0,44.72,0.15,145824.0,1893.74,2276.94,59.97,56057.0,51988.0
21.98,3108.0,50.88,0.14,184814.0,1892.59,3540.86,64.11,59243.0,52487.0
21.28,3985.0,65.14,0.12,199704.0,1944.56,3654.55,68.32,56825.2,60336.0
20.01,4238.0,84.64,0.11,223069.0,2192.6,5066.96,71.08,59692.0,62621.0
18.23,6197.0,108.2,0.11,178527.0,2322.58,7616.62,68.31,55395.0,65238.0
15.33,6431.0,126.42,0.11,217986.0,2430.96,7350.73,62.72,57562.0,78086.0
10.77,6528.0,189.55,0.105,258084.0,2667.99,12586.52,58.61,61830.0,81385.0
8.36,13525.0,231.68,0.102,304021.0,2964.56,10943.13,57.27,64622.0,82933.3
17.12,42108.0,275.2,0.093,380907.0,3533.55,9121.07,53.13,69142.0,97355.6
16.61,36280.0,232.36,0.09,434776.0,3563.96,8359.88,50.98,76782.0,101676.691
17.98,64020.0,255.74,0.106,480200.0,3935.09,9532.44,49.44,82991.0,108936.73
21.47,154400.0,293.69,0.098,535593.0,3983.97,9289.6,47.48,93517.0,110705.2
19.64,169258.0,399.24,0.087,604358.0,3994.4,9928.07,42.68,96951.0,114117.59
8.38,139706.0,355.64,0.077,734330.0,3830.26,12161.24,17.4,104129.0,176020.838
6.87,110002.0,462.63,0.072,851673.0,3899.16,9596.76,13.99,112096.0,181252.34
8.41,159323.0,367.78,0.064,1011375.0,4050.94,11443.77,13.2,125650.0,186873.23
7.74,229791.0,797.25,0.06,1131166.0,4062.09,11805.18,11.51,125650.0,191961.34
